path,role,symbols,sha256,commit
config/layer-contract.json,顶层与逐文件运行时依赖白名单,,c9ae18444d375c8ae822e4a369f309256ccbd2b0c08f0ef0aff7a27e555a8e02,230c635
docs/tool-pipeline.md,产品级职责图、接口语义与验证入口,,56f914ed9c9a46fd6960a66d7c12e45d30c5aa8a641f2444f83bbf2f1be81e63,230c635
scripts/lint-layer-contract.mjs,基于 TypeScript AST 的实际依赖检查及 census,,7e64541c5056339d069653fe9e8bc2f5052a057971ec2e2c9dc4e4ec1c6be6ea,230c635
src/agent/runtime/ToolExecutionPipeline.ts,公开入口、注册表及默认组装,createToolPipeline,108f6f1bff741cdf46b783d44c013b5dd3a8f6498267937bdb7a353dae54c9a4,230c635
src/agent/runtime/toolPipeline/accessGates.ts,通用 capability、参数大小和安全策略门禁,"MAX_TOOL_ARG_BYTES, TOOL_ARGS_INVALID_CODE, TOOL_ARGS_TOO_LARGE_CODE, measureToolArgBytes, allowlistGate, toolArgumentBoundsGate, runtimeSafetyGate, isActionAllowed",c4ce9e84bab6892372d1b71923c3ac0a2250c5b613a1951c475b39ad504ff87f,230c635
src/agent/runtime/toolPipeline/callNormalization.ts,字段读取与直接 note_finding 兼容翻译,"isDirectNoteFindingCall, toExecutableToolCall, getToolAction, getToolParams",0ce7354f08782d90b0d6ca67e256b3495ba0cf3f128643433908c3d6d03bd4af,230c635
src/agent/runtime/toolPipeline/contracts.ts,类型叶子；复用公共 metadata，区分内部窄端口与公开完整上下文,,a77ff7674e21bee78580e9e2e93ff28672f30c76c71f0e96526990e7f9d1052c,230c635
src/agent/runtime/toolPipeline/duplicateCache.ts,只读 snapshot 缓存准入与复用，拒绝失败,"SIDE_EFFECT_ACTIONS, getToolManifest, isReadLikeManifest, isDeterministicDuplicateCandidate, getEfficiencyCache, cloneCacheValue, resolveProjectSnapshotId, buildCacheKey, deterministicDuplicateGuard",93d0c97b10eaf010c4b8ded81df1e906d1575da008cfd82be044638f88516550,230c635
src/agent/runtime/toolPipeline/engine.ts,顺序生命周期执行器；executor 由装配入口注入,"diagnosticReason, runBeforeMiddlewares, runAfterMiddlewares",566b07bf531fe2a8d3ab768a85d9587c718e0c72d936c005d8651e98e11c07f7,230c635
src/agent/runtime/toolPipeline/observations.ts,证据→memory→tracker→trace 及可选事件,"evidenceCapture, observationRecord, trackerSignal, traceRecord, progressEmitter, eventBusPublisher",e88a514c3e9cd1c9bbb07b5227710f30a1a21ed3dc15c393c4047bb19bc96d11,230c635
src/agent/runtime/toolPipeline/phaseGates.ts,场景阶段的动作范围约束,"evolutionDecisionGate, RECORD_REPAIR_MEMORY_ACTIONS, ANALYST_VERIFY_CODE_ACTIONS, ANALYST_VERIFY_MEMORY_ACTIONS, EVIDENCE_READ_ACTIONS, ANALYST_VERIFY_GRAPH_QUERY_TYPES, PRODUCER_CODE_ACTIONS, PRODUCER_KNOWLEDGE_ACTIONS, PRODUCER_MEMORY_ACTIONS, PRODUCER_META_ACTIONS, recordRepairOnlyGate, analystVerifyOnlyGate, producerSubmitOnlyGate",2ea0db99758e663fffab8d5850aad83db105a25626ebd6230cca500e3c14ddf6,230c635
src/agent/runtime/toolPipeline/runtimeBridge.ts,唯一 host 路由调用点与请求/envelope/失败归一,"projectPipelineToolResult, BLOCKING_ENVELOPE_STATUSES, executeRuntimeToolCall, buildRuntimeToolCallRequest, resolvePipelineSourceName, resolveProjectLanguage, resolveDimensionScopeId, projectSessionToolCalls, recordExecutedEnvelope",d965c93218955e996fabf7aac9a0b91af46467ca0a1071f299de1ede20e7915e,230c635
src/agent/runtime/toolPipeline/submissionLedger.ts,真实持久化候选的覆盖记账,"submitDedup, recordProducerSubmitLedger, isProducerLoop, hasCompleteSubmitPayload, submitSourceCount, stringValue, numberValue",8d72c72bae6f2f9b5540823954c7faef73c1e874a37b32a0ae83f5563ca1e755,230c635
test/fixtures/public-strict-consumer/strict-facades.ts,真实宿主编译消费及 public middleware 完整上下文兼容,,573cb8206b6081f627aa522b652356ca53151ae450f64934634e725545353306,230c635
test/layer-contract.test.ts,真实 CLI/temp-repo 的 38 个架构正反例,,2b049c8cd62663b7dfb20330ebc1c12f6f066c064c8b8b920a274962480276df,230c635
test/runtime-efficiency.test.ts,生命周期、证据顺序、失败恢复和缓存行为,,b8a74def2400caee955adb1dea3a9ed0ffbe023ac386d049fb9a0dc4359aa6c7,230c635
