path,role,reviewLevel,change,findings,disposition,tests,sha256
.claude/settings.json,既有工具权限及相邻目录访问声明；只读审阅，保留宿主配置。,configuration-or-historical-artifact,unchanged,,保留；历史产物不重写。,,7ef819b492cfbd5eb881a3c3c66b0734c0c4071269ba77df767ee613ae0ed982
.git-blame-ignore-revs,历史批量改名提交的 blame 排除记录。,configuration-or-historical-artifact,unchanged,,保留；历史产物不重写。,,1fd3c77b437a1363104eb55acb3cd8db7b80148d9e402741274bd33aed44c885
.github/workflows/ci.yml,CI checkout Core sibling、安装构建测试链。,full-source-or-document,M,MT-01,保留当前职责，未发现可安全直接删除的门禁/配置；问题详见findings。,,171cc896eef9603421d6e231ca9330278447360ab128dc46f4ad3414f0ec919c
.gitignore,忽略依赖、构建、临时证据与本机私密配置。,configuration-or-historical-artifact,unchanged,,保留；历史产物不重写。,,4752c9f8e5ba98fd925597d7f871acddff88cc7cb1f646ff24220d545ddbbca0
AGENTS.md,本仓边界、验证、Core 依赖与协作约束；保留用户预先改动。,configuration-or-historical-artifact,user-preexisting-preserved,,保留；历史产物不重写。,,d8ceb073bdb0aa01ae1b4c5ff1f952b962d4ae504c6dbd95b98e2aeb35ebb062
CLAUDE.md,宿主协作规则；保留用户预先改动。,configuration-or-historical-artifact,user-preexisting-preserved,,保留；历史产物不重写。,,1a48f2a9211e7ada798b3d6ce92ef816d741ad380585edbfb9105e794cc151e6
README.md,英文当前架构、目录、公共API与验证发布说明。,full-source-or-document,M,,保留当前职责，未发现可安全直接删除的门禁/配置；问题详见findings。,,0c578238d82720bf5ea94cedb28883070f479a54d4fce0827dfb399f0412f018
README.zh-CN.md,中文对等入口说明。,full-source-or-document,M,MT-06,保留当前职责，未发现可安全直接删除的门禁/配置；问题详见findings。,,55777571f1539ee0a69a8e075b2d9b596c96ee4c92b415a98f856efef26a34bd
biome.json,单一格式/lint规则，产品fixture明确排除。,full-source-or-document,unchanged,,保留当前职责，未发现可安全直接删除的门禁/配置；问题详见findings。,,ea38c2c0dc4d318d651ba6081f5601e0f2c9e6db2883c82af95e7f43e18d4ac2
config/agent-public-api-boundary.json,15个精确公共出口与主机边界/禁止消费样本的规范数据。,full-source-or-document,unchanged,,配置矩阵和负样本是审阅过的准入规则，不是重复业务逻辑。只可按已授权API变更更新。,,de09106f43c8542e2f89772e6674a33f49cad925b1aaf7a30fdd0fe02285abd5
config/agent-public-api-signatures.json,各公共出口绑定名+runtime kind的精确哈希快照。,full-source-or-document,unchanged,,15出口逐项count、unique、排序哈希均内部一致；冻结快照是边界契约，不能作为冗余删掉或自动刷新来掩盖接口变化。,,120889b5f8d69ba8117e1c968a1357a054243632f309f446d9725c230ed11ad8
config/agent-validation-floor.json,不应随便下调的验证下限与关键行为suite清单。,full-source-or-document,unchanged,,保留34文件/241声明/15出口/52正reference/432pack冻结门槛；实际计数有充分空间支持本次去重。,,2874970a90a538e53ea16fbd8f78396dc71555896a06b250d7453d1fc0ea3158
config/core-import-boundary.json,Core公共facade/禁止deep import基线及例外解释。,full-source-or-document,unchanged,,稳定facade计数历史基线不是现时全部引用数；不因数值旧而放宽0上限或删除配置。,,57eebbae6daa71213d5357a3092f2cacf26c18adf67266bba86644b58dcf68b6
