file,lines,scope,decision,sha256
src/agent/production/StrictProductionPipeline.ts,51,完整兼容出口,43个源级出口不增减；94个声明正文等价迁移。,644da145231c610aa1bbdaa4aa05f6351adcdcdcb952e83507c760c05dd34a86
src/agent/production/StrictProductionStages.ts,285,真实stage factory与G1/G2宿主适配,修复continue/true适配、非法判定、取消后内部副作用、先验证后seal。,c53ad2807fc40e2a22d5a843a15579a621ba586c450a2d752b1be58394f09136
src/agent/production/strict/analysisLoop.ts,656,上下文、epoch推进、扩展日程,Core生成日程；seal可选预期hash先比对再提交，原无参保持。,cd267b527b8ed341ba3c7befddd1e77c84431d05a986266ca148d04757e5af5b
src/agent/production/strict/analyst.ts,612,Analyst语义回执与fixpoint,非法disposition拒绝；unknown继续阻断fixpoint；跨进程重建/Core守恒验证保留。,ddf5eece33c6b582d4e569743e8c02f021f3bf4e8566f85c864e12c1fea5d1be
src/agent/production/strict/lineage.ts,384,Producer证据血缘与因果修复,证据字节hash、上下文/epoch/review守恒及修复界限均原样保留。,e5ffb27db6199880b3804bba45fbfafc2bcdddbd36b668dd09c510cfc2123db9
src/agent/production/strict/expressions.ts,423,表达集与终态封印,0/1/N表达、前驱链与Core terminal validator完整迁移。,ab86d467c1c1f397f523fa6b0b26451a6ae33c6824a1ec050f034f286edac9c4
src/agent/production/strict/gates.ts,55,阶段工具准入与typed gate return,保留工具权限与Core返回适配；不反向依赖编排。,cf8fb9ad570b1b048bf078cba25ece112c1530c5845bc751bc9eec39cd53ab63
src/agent/production/strict/primitives.ts,88,V1内部ID/hash/深冻结,修复浅冻容器子项可变；hash排序/前缀不机械合并。,626f34aa1168cbc05b36f1b7f310b22efcc24b6718e9402c9506e3563fac6f95
src/tools/runtime/handlers/knowledge/input.ts,285,知识工具输入合同,28个可编辑字段许可；未知字段整笔拒绝，显式undefined不能旁路。,631bca7adb12b691ca12aa1e4ea946114e28160ccea82783bd0d21a21c1a43a2
src/tools/runtime/handlers/knowledge/management.ts,507,知识管理端口和写入结果,Core类型替代重复鸭子接口；取消读、缺端口、partial/unknown写入与skipped规范化。,14a9f663d1531d0d8f2c9bee1d7e9618ad3289200ee7f2e2f0aa201f4a2ceb2d
src/tools/runtime/registry.ts,900,knowledge.manage schema（本轮审查范围）,同步ID、score/confidence、queue limit和内容字段许可说明。,84771e4f92ea1d98f48464d8bed4f5488297e56ca7165e95b47a57be5961589c
src/agent/strategies/PipelineStrategy.ts,1576,strict路由/epoch投影（本轮只读范围）,确认调用factory及Core结果；保留与阶段入口不同的读取限制策略，不机械合并检查。,3584f5e073e1420e73893309685f56dfb565ca2f2730ee797ef459383111b6cf
src/agent/production/StrictProductionPrompts.ts,43,strict上下文提示装配（只读）,真实epoch/context入口继续接线。,0769af8b096240989a065c281051bafeede31aa331e6ccbc43f3ab5b01d9f4d5
src/production.ts,67,公开production facade（只读）,现有Runtime/type导出保持；不新增内部子路径。,598a5ff42d6699241a87eeca7c6918c29249d1f1d07180c6d5e9825fa8bd7987
src/agent/production/index.ts,3,Agent内部barrel（只读）,继续通过原兼容入口转出。,4751a15835697c541321aa96238ae25b004a5607becc52b83344304877d5048e
