文件,模块组,变更,审查深度,职责/结论,基线行数,当前行数,审查报告
.git-blame-ignore-revs,foundation,retained,static,Module/configuration/documentation; dependency and structure inventory recorded,6,5,foundation-review.json
.github/workflows/ci.yml,foundation,modified,manual-full,PR检查统一调用npm run check，补齐此前CI漏跑的已有门禁。,59,42,foundation-review.json; foundation-root-round2-review.json
.github/workflows/release.yml,foundation,modified,manual-full,tag版本核对和发布；移除check已执行的重复build/smoke，没有执行远端发布。,102,95,foundation-review.json; foundation-root-round2-review.json
.gitignore,foundation,modified,manual-full,Module/configuration/documentation; dependency and structure inventory recorded,10,7,foundation-review.json
README.md,foundation,modified,manual-full,Module/configuration/documentation; dependency and structure inventory recorded,196,197,foundation-review.json
README.zh-CN.md,foundation,modified,manual-full,Module/configuration/documentation; dependency and structure inventory recorded,177,177,foundation-review.json
RELEASE-PLAYBOOK.md,foundation,modified,manual-full,发布前提和dry-run说明随check统一调整；保留clean-tree硬门禁。,93,91,foundation-review.json; foundation-root-round2-review.json
biome.json,foundation,modified,manual-full,Module/configuration/documentation; dependency and structure inventory recorded,99,97,foundation-review.json
config/blessed-singletons.json,foundation,retained,static,机器策略配置：schema、引用和相应门禁校验；保留发布/兼容/预算约束，不把策略项当死代码删除。,204,203,foundation-review.json
config/error-registry.json,foundation,retained,static,机器策略配置：schema、引用和相应门禁校验；保留发布/兼容/预算约束，不把策略项当死代码删除。,99,98,foundation-review.json
config/layer-contract.json,foundation,retained,static,机器策略配置：schema、引用和相应门禁校验；保留发布/兼容/预算约束，不把策略项当死代码删除。,87,86,foundation-review.json
config/naming-lint.json,foundation,retained,static,机器策略配置：schema、引用和相应门禁校验；保留发布/兼容/预算约束，不把策略项当死代码删除。,140,139,foundation-review.json
config/public-api-boundary.json,foundation,retained,static,机器策略配置：schema、引用和相应门禁校验；保留发布/兼容/预算约束，不把策略项当死代码删除。,1233,1232,foundation-review.json
config/retired-symbols.json,foundation,retained,static,机器策略配置：schema、引用和相应门禁校验；保留发布/兼容/预算约束，不把策略项当死代码删除。,198,197,foundation-review.json
config/space-allowed-edges.json,foundation,retained,static,机器策略配置：schema、引用和相应门禁校验；保留发布/兼容/预算约束，不把策略项当死代码删除。,66,65,foundation-review.json
config/wire-type-manifest.json,foundation,retained,static,机器策略配置：schema、引用和相应门禁校验；保留发布/兼容/预算约束，不把策略项当死代码删除。,57,56,foundation-review.json
docs/entrypoint-effects.md,foundation,retained,manual-full,阅读声明的import/runtime效果边界，结合现役provider/probe路径保留既有兼容，不以文档替代运行时证据。,38,37,foundation-review.json; root-final-gate-review
docs/fork-registry.md,foundation,retained,static,Module/configuration/documentation; dependency and structure inventory recorded,43,42,foundation-review.json
docs/foundational-health-register.md,foundation,retained,static,Module/configuration/documentation; dependency and structure inventory recorded,17,16,foundation-review.json
docs/layer-contract.md,foundation,modified,manual-full,层职责与当前矩阵核对；修复已删除workflows→core边仍被上文声称允许的矛盾。,149,148,foundation-review.json; foundation-root-round2-review.json
docs/lint-debt.md,foundation,modified,manual-full,Module/configuration/documentation; dependency and structure inventory recorded,22,22,foundation-review.json
docs/public-api-gates.md,foundation,modified,manual-full,与实际13步check、真实声明symbol smoke和已退役source-graph出口对齐；未改变机器边界政策。,73,82,foundation-review.json; root-final-gate-review
docs/realtime-delivery-contract.md,foundation,retained,static,Module/configuration/documentation; dependency and structure inventory recorded,49,48,foundation-review.json
docs/semantic-glossary.md,foundation,modified,manual-full,Module/configuration/documentation; dependency and structure inventory recorded,76,77,foundation-review.json
docs/vocabulary.md,foundation,retained,static,Module/configuration/documentation; dependency and structure inventory recorded,112,111,foundation-review.json
docs/wire-contract.md,foundation,retained,static,Module/configuration/documentation; dependency and structure inventory recorded,79,78,foundation-review.json
package.json,foundation,retained,manual-full,Module/configuration/documentation; dependency and structure inventory recorded,345,344,foundation-review.json
scripts/audit-project-context-foundation.mjs,foundation,retained,static,Module/configuration/documentation; dependency and structure inventory recorded,2035,2034,foundation-review.json
scripts/check-output-budgets.mjs,foundation,retained,manual-full,冻结预算表及UTF8/overflow/reset保留凭据自检；预算没有更改。,114,113,foundation-review.json; foundation-root-round2-review.json
scripts/check-public-api-boundary.mjs,foundation,retained,static,Module/configuration/documentation; dependency and structure inventory recorded,457,456,foundation-review.json
scripts/check-release-readiness.mjs,foundation,retained,manual-full,版本/导出产物/npm dry-run包内容及clean-tree发布门禁；本轮不发布。,256,255,foundation-review.json; foundation-root-round2-review.json
