file,lines,role,reviewDecision,sha256
src/shared/operation.ts,71,operation timer/listener/terminal race,"Shared operation extraction; verified through memory, style and stage consumers.",41080efd3505d08de748dd8ff2521666d7496469461f2100a2c514422cc30147
src/agent/memory/MemoryReadPolicy.ts,102,memory deadline policy and diagnostic contract,Retains deadline/default/error policy; removes duplicate lifecycle implementation.,a16bffe8490bdbc11aa8fd29b3963eb8478078d3a18f3884d4423482f8ca55e0
src/agent/strategies/PipelineStrategy.ts,1576,"stage order, gate routes and result aggregation","Preparation deadline, main reply, per-attempt totals, own cancellation state; Core strict authority retained.",3584f5e073e1420e73893309685f56dfb565ca2f2730ee797ef459383111b6cf
src/agent/strategies/pipeline/contracts.ts,29,internal runtime observation and stage-result vocabulary,Optional existing runtime observations; explicit aborted and partial receipt semantics.,ee031b5c068f093bcea7d813ee58cf505ff8f5df8d069dcf4856e23b8baeffdd
src/agent/strategies/pipeline/attempt.ts,232,single-stage attempt and observation reconciliation,"One terminal result, native history, occurrence-aware pairing, safe retry eligibility, independent diagnostics.",20e3692a08b8c35321cebab94ffea529b325f0a3ea412bbb320f4a9c1301c8fe
src/ai/AiProvider.ts,719,text chat gateway adapter,Optional abortSignal reaches gateway transport; actual mock fetch verified.,8dd5d5bf66ba2627deb7495ea2654c46cdc2d9f5307982ed32e4688025eb3c6d
src/tools/runtime/handlers/submitEvidenceExpansion.ts,511,evidence expansion and bounded style subcall,Optional operation options; 30-second style deadline and cancellation; existing evidence path retained.,a322a2b4a507d26c136f111350469e1c235f9cb14faecd35d20e5e972e79f54c
src/tools/runtime/handlers/knowledge.ts,33,existing five-action facade,Handle and Core waiver re-exports preserved; routing only.,b567126f47b70ab3d56cceafa800364b3377cd2619918b70edfa75742c682658
src/tools/runtime/handlers/knowledge/contracts.ts,42,host ports and source identifiers,Uses Core production package type without copying persistence or gates.,373d70be1f8c97ba030190c520fec77a446aff990ee78986228eb2a72aff30cd
src/tools/runtime/handlers/knowledge/input.ts,202,input guards and candidate normalization,Direct-handler invalid types rejected; three local-only helper exports removed.,2a5f1bc3929cc056e0c0485afadc346254565d8e11ecd519311d3dd4e91b15f0
src/tools/runtime/handlers/knowledge/sources.ts,152,bounded source hints and prepared authoring evaluation,Symlink-safe Agent resolver kept; uses same Core authoring gate.,6e3c906af930c1d995da25dc65c1b9687522baad26e204ee14f5624ca7db1848
src/tools/runtime/handlers/knowledge/sessionState.ts,70,stable session counters,Original nested box identity preserved across projection and phase copies.,358e7db80cafb759d239bd2ed6a78c57543ef3e2ed6b8f025852c5c1944c71ef
src/tools/runtime/handlers/knowledge/operation.ts,39,knowledge cancellation policy,Narrow signal-only context; distinguishes before-write stop from confirmed mutation.,299dcc27b91734ad20deb3a180f703435787cd095ca4e6465232986b6061ceb9
src/tools/runtime/handlers/knowledge/queries.ts,201,"search, prime, detail projections","Original ordering, limits and actual query calls preserved by declaration audit.",c6b833fd6c5f77f12d874a88d67140b57bb861d2a34165fde351334f2b4f1b90
src/tools/runtime/handlers/knowledge/management.ts,440,"publish, staging review and proposal adapters",Publish/readiness cancellation retained; no Core lifecycle authority moved.,7dc54cb7a38334c064ddbe342d497b4a50b41c09286e284d9e598c16c85969a9
src/tools/runtime/handlers/knowledge/authoring.ts,409,"evidence preparation, repair and Core gate",Stable 3/2 attempt budgets; graph recheck consistency; unreachable appeal feedback removed.,532dcacaa2078d73e709c8dca9ad61caf93ad9f66623ba0fec097bc5c6fa54a2
src/tools/runtime/handlers/knowledge/submission.ts,155,Core write boundary and result routing,Final abort check after preparation await; one Core create call; non-created results preserved.,a18be626caa02f1d1a2d3bd001b0c2cadc3ad15e96f02a4e8bd587a09e8dfc65
src/tools/runtime/handlers/knowledge/submissionResult.ts,160,post-create projection,Readiness-only production port; created identity survives read/save failure; unknown readiness explicit.,371b52e6e0393679b7d258f583598585860862448e13c7545d942cc1b2c2d5e7
src/tools/runtime/handlers/recipeAuthoringGate.ts,183,existing Core authoring adapter (review only),Kept filesystem/symlink scope checks; not equivalent to copying Core deterministic capability.,7f98f5834664de797fd2c568c068e843a542c5b7bcd24ade72c0a3da1a3a8c09
src/tools/runtime/handlers/recipeProductionAdapter.ts,237,existing retrieval/code evidence preparation (review only),Original provenance and unsafe-code diagnostics retained across repair.,17b3f6143b6e26d5125091c781d50c5132505d8896b0c9ac3474b5bcfd657e2a
